,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6
0,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,XXXXXXS,XXXXXXS,MTWTFSX,MTWTFSX,XXXXXXS,MTWTFSX,MTWTFSX
0,03:55,03:55,04:25,04:25,04:45,04:50,05:10,05:10,05:55,05:55,06:20,06:45,06:45,07:05,07:05,07:25,07:25,07:40,07:45,08:05,08:10,08:10,08:25,08:25,08:40,08:45,08:50,09:05,09:05,09:40,09:40,10:05,10:45,10:45,11:30,11:45,11:45,12:15,12:15,13:00,13:00,13:50,13:50,14:25,14:25,14:50,15:05,15:05,15:40,15:40,16:10,16:30,16:30,17:00,17:00,17:30,17:30,18:10,18:10,18:20,18:40,18:40,18:55,19:25,19:25,19:45,19:45,20:10,20:25,20:25,20:45,20:45,21:10,21:10,22:15,22:15,23:10,23:10
1,04:00,04:00,04:30,04:30,04:50,04:55,05:15,05:15,06:00,06:00,06:25,06:50,06:50,07:10,07:10,07:30,07:30,07:45,07:50,08:10,,08:15,08:30,08:30,08:45,08:50,08:55,09:10,09:10,09:45,09:45,10:10,10:50,10:50,11:35,11:50,11:50,12:20,12:20,13:05,13:05,13:55,13:55,14:30,14:30,14:55,15:10,15:10,15:45,15:45,16:15,16:35,16:35,17:05,17:05,17:35,17:35,18:15,18:15,18:25,18:45,18:45,19:00,19:30,19:30,19:50,19:50,20:15,20:30,20:30,20:50,20:50,21:15,21:15,22:20,22:20,23:15,23:15
2,04:06,04:06,04:36,04:36,04:56,05:01,05:21,05:21,06:06,06:06,06:31,06:56,06:56,07:16,07:16,07:36,07:36,07:51,07:56,08:16,,08:21,08:36,08:36,08:51,08:56,09:01,,,09:51,09:51,10:16,10:56,10:56,11:41,11:56,11:56,12:26,12:26,13:11,13:11,14:01,14:01,14:36,14:36,15:01,15:16,15:16,15:51,15:51,16:20,16:41,16:41,17:11,17:11,17:41,17:41,18:21,18:21,18:31,18:51,18:51,19:06,19:36,19:36,19:56,19:56,20:21,20:36,20:36,20:56,20:56,21:21,21:21,22:26,22:26,23:21,23:21
3,04:11,04:11,04:41,04:41,05:01,05:06,05:26,05:26,06:11,06:11,06:36,07:01,07:01,07:21,07:21,07:41,07:41,07:56,08:01,08:21,,08:26,08:41,08:41,08:56,09:01,09:06,,,09:56,09:56,10:21,11:01,11:01,11:46,12:01,12:01,12:31,12:31,13:16,13:16,14:06,14:06,14:41,14:41,15:06,15:21,15:21,15:56,15:56,16:25,16:46,16:46,17:16,17:16,17:46,17:46,18:26,18:26,18:36,18:56,18:56,19:11,19:41,19:41,20:01,20:01,20:26,20:41,20:41,21:01,21:01,21:26,21:26,22:31,22:31,23:26,23:26
4,04:13,04:13,04:43,04:43,05:03,05:08,05:28,05:28,06:13,06:13,06:38,07:03,07:03,07:23,07:23,07:43,07:43,07:58,08:03,08:23,,08:28,08:43,08:43,08:58,09:03,09:08,,,09:58,09:58,10:23,11:03,11:03,11:48,12:03,12:03,12:33,12:33,13:18,13:18,14:08,14:08,14:43,14:43,15:08,15:23,15:23,15:58,15:58,16:28,16:48,16:48,17:18,17:18,17:48,17:48,18:28,18:28,18:38,18:58,18:58,19:13,19:43,19:43,20:03,20:03,20:28,20:43,20:43,21:03,21:03,21:28,21:28,22:33,22:33,23:28,23:28
5,04:16,04:16,04:46,04:46,05:06,05:11,05:31,05:31,06:16,06:16,06:41,07:06,07:06,07:26,07:26,07:46,07:46,08:01,08:06,08:26,,08:31,08:46,08:46,09:01,09:06,09:11,,,10:01,10:01,10:26,11:06,11:06,11:51,12:06,12:06,12:36,12:36,13:21,13:21,14:11,14:11,14:46,14:46,15:11,15:26,15:26,16:01,16:01,16:31,16:51,16:51,17:21,17:21,17:51,17:51,18:31,18:31,19:41,19:01,19:01,19:16,19:46,19:46,20:06,20:06,20:31,20:46,20:46,21:06,21:06,21:31,21:31,22:36,22:36,23:31,23:31
6,04:20,04:20,04:50,04:50,05:10,05:15,05:35,05:35,06:20,06:20,06:45,07:10,07:10,07:30,07:30,07:50,07:50,08:05,08:10,08:30,,08:35,08:50,08:50,09:05,09:10,09:15,,,10:05,10:05,10:30,11:10,11:10,11:55,12:10,12:10,12:40,12:40,13:25,13:25,14:15,14:15,14:50,14:50,15:15,15:30,15:30,16:05,16:05,16:35,16:55,16:55,17:25,17:25,17:55,17:55,18:35,18:35,19:45,19:05,19:05,19:20,19:50,19:50,20:10,20:10,20:35,20:50,20:50,21:10,21:10,21:35,21:35,22:40,22:40,23:35,23:35
7,04:24,04:24,04:54,04:54,05:14,05:19,05:39,05:39,06:24,06:24,06:49,07:14,07:14,07:34,07:34,07:54,07:54,08:09,08:14,08:34,,08:39,08:54,08:54,09:09,09:14,09:19,,,10:09,10:09,10:34,11:14,11:14,11:59,12:14,12:14,12:44,12:44,13:29,13:29,14:19,14:19,14:54,14:54,15:19,15:34,15:34,16:09,16:09,16:39,16:59,16:59,17:29,17:29,17:59,17:59,18:39,18:39,19:49,19:09,19:09,19:24,19:54,19:54,20:14,20:14,20:39,20:54,20:54,21:14,21:14,21:39,21:39,22:44,22:44,23:39,23:39
8,04:28,04:28,04:58,04:58,05:18,05:23,05:43,05:43,06:28,06:28,06:53,07:18,07:18,07:38,07:38,07:58,07:58,08:13,08:18,08:38,,08:43,08:58,08:58,09:13,09:18,09:23,,,10:13,10:13,10:36,11:18,11:18,12:03,12:18,12:18,12:48,12:48,13:33,13:33,14:23,14:23,14:58,14:58,15:23,15:38,15:38,16:13,16:13,16:43,17:03,17:03,17:33,17:33,18:03,18:03,18:43,18:43,19:53,19:13,19:13,19:28,19:58,19:58,20:18,20:18,20:43,20:58,20:58,21:18,21:18,21:43,21:43,22:48,22:48,23:43,23:43
